dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),dropout,num_layers,num_neurons,num_topics
dataset_name,RF,LCB,0,70.3292088508606,0.3961442426687693,0.40843840407044496,0.025849204525088317,0.46174495687047284,4,300,11
dataset_name,RF,LCB,1,51.04913568496704,0.4620517118441549,0.45133861506974515,0.028609684383642246,0.5632023873137675,1,100,23
dataset_name,RF,LCB,2,62.274149656295776,0.4621330928341788,0.4601213916577874,0.024541839056459156,0.1286808174816518,3,300,15
dataset_name,RF,LCB,3,55.680370807647705,0.40919175935469765,0.4089883108213089,0.0063798849460083495,0.8145201153146736,5,100,49
dataset_name,RF,LCB,4,39.61085247993469,0.44584716289148824,0.4464538393571093,0.013946505192295027,0.33013488713698086,2,100,15
dataset_name,RF,LCB,5,51.440662145614624,0.42565575158850444,0.43174594802247085,0.009783326811446212,0.4218064379792254,3,100,9
dataset_name,RF,LCB,6,57.90606760978699,0.40212511324862293,0.4044321288098258,0.015937906344377282,0.7880948334946438,5,200,50
dataset_name,RF,LCB,7,40.74411463737488,0.4855496323919966,0.4886583448215607,0.016118435119722465,0.0538640214599717,2,100,15
dataset_name,RF,LCB,8,68.03855538368225,0.48723532175128736,0.48074399514697036,0.01572427294901716,0.3044845127765407,1,100,21
dataset_name,RF,LCB,9,49.234323501586914,0.45754289173429324,0.46107250766673813,0.007900964718163098,0.1492411648497693,2,200,43
dataset_name,RF,LCB,10,51.198716163635254,0.4405547535686353,0.439432716331012,0.008807033605426633,0.22741822493792058,3,100,49
dataset_name,RF,LCB,11,60.96036338806152,0.47302251310801113,0.4744520382884027,0.015546094787100888,0.3761910015533194,1,300,21
dataset_name,RF,LCB,12,50.2582528591156,0.4504484685586123,0.4544654891226486,0.01733363101652006,0.46010556906452393,1,300,22
dataset_name,RF,LCB,13,54.43882751464844,0.44583149286165574,0.4399104394888389,0.03741674831160817,0.5103572519011897,1,200,21
dataset_name,RF,LCB,14,51.15879559516907,0.4084620545411009,0.42473278944077747,0.045071515083368714,0.27539030552014815,3,100,6
dataset_name,RF,LCB,15,43.07154703140259,0.41409267319208426,0.4121007478739063,0.010650128727921714,0.31163203457998323,2,100,12
dataset_name,RF,LCB,16,62.39151883125305,0.45844171753630075,0.44835919763455817,0.031456874915170525,0.2368956152872946,1,100,3
dataset_name,RF,LCB,17,43.49489235877991,0.4717955027319082,0.4760163999595422,0.022627623816232824,0.30064155819181737,2,100,15
dataset_name,RF,LCB,18,50.84926128387451,0.4538687266861944,0.4442845472004196,0.04264445026347396,0.27525737059211086,2,100,8
